participant_id,task_name,task_type,action,row,col,color,reason,reason_cat,dist_to_target,color_relevant,rand_baseline_dist,rand_baseline_color,n_target_cells,grid_rows,grid_cols
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,6,11,3,wrong color (expected 0),wrong_color,2.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,6,12,3,wrong color (expected 0),wrong_color,3.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,7,12,3,wrong color (expected 0),wrong_color,2.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,8,12,3,wrong color (expected 0),wrong_color,2.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,10,12,3,wrong color (expected one of 0/4),wrong_color,0.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,12,12,3,wrong color (expected 0),wrong_color,2.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,11,16,3,wrong color (expected one of 0/4),wrong_color,0.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,9,16,3,wrong color (expected one of 0/4),wrong_color,0.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,10,16,3,wrong color (expected one of 0/4),wrong_color,0.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,8,16,3,wrong color (expected one of 0/4),wrong_color,0.0,0,3.1085,0.1111111111111111,33,20,20
6163eae42f7d15eb1810b2c6de68072a,00d62c1b.json,training,edit,7,16,3,wrong color (expected one of 0/4),wrong_color,0.0,0,3.1085,0.1111111111111111,33,20,20
6c315540c490be5d85dd60c53dbbea4b,017c7c7b.json,training,edit,4,0,2,wrong color (expected 0),wrong_color,1.0,1,0.306,0.2222222222222222,19,9,3
6c315540c490be5d85dd60c53dbbea4b,017c7c7b.json,training,edit,6,0,1,wrong color (expected 2),wrong_color,0.0,0,0.306,0.2222222222222222,19,9,3
6c315540c490be5d85dd60c53dbbea4b,017c7c7b.json,training,edit,6,1,1,wrong color (expected 2),wrong_color,0.0,0,0.306,0.2222222222222222,19,9,3
6c315540c490be5d85dd60c53dbbea4b,017c7c7b.json,training,edit,6,2,1,wrong color (expected 2),wrong_color,0.0,0,0.306,0.2222222222222222,19,9,3
6c315540c490be5d85dd60c53dbbea4b,017c7c7b.json,training,edit,7,1,1,wrong color (expected 2),wrong_color,0.0,0,0.306,0.2222222222222222,19,9,3
