exp_name,task_type,hashed_id,joint_id_task,task_name,task_number,attempt_number,num_actions,solved,test_output_grid,first_written_solution,last_written_solution,complete,normalized_num_actions
expv2,training,59e36641c3391529505bdf7af902cec0,59e36641c3391529505bdf7af902cec0_2dee498d.json,2dee498d.json,4,1,27,true,|02044|22044|02220|11022|11020|,QUITE EASY TASK,QUITE EASY TASK,true,0.978852
expv6_2,evaluation,09662d8592626fbd195e5476d4fdfec4,09662d8592626fbd195e5476d4fdfec4_ac3e2b04.json,ac3e2b04.json,1,1,113,true,|002000020002000020|033300111011100111|132311121112111121|033300111011100111|002000020002000020|002000020002000020|002000020002000020|002000020002000020|002000020002000020|002000020002000020|002000020002000020|011100111033300111|112111121132311121|011100111033300111|002000020002000020|002000020002000020|,From the green cubes the blue one extends at 90 degrees following the same rule.,From the green cubes the blue one extends at 90 degrees following the same rule.,true,1.345238
expv6_2,evaluation,09662d8592626fbd195e5476d4fdfec4,09662d8592626fbd195e5476d4fdfec4_c92b942c.json,c92b942c.json,2,1,51,true,|211211211|030030030|003003000|211211211|030030030|003003000|211211211|030030030|000000000|,The blue color covered horizontal all spaces except the one already covered while the green covered diagonal one piece to the left on top and right below.,The blue color covered horizontal all spaces except the one already covered while the green covered diagonal one piece to the left on top and right below.,true,1.000000
expv6_2,evaluation,09662d8592626fbd195e5476d4fdfec4,09662d8592626fbd195e5476d4fdfec4_b7999b51.json,b7999b51.json,3,1,23,true,|63218|63210|63200|63000|63000|60000|,Width records the number of colors used while the height represents the number of cells the colors covered vertically.,Width records the number of colors used while the height represents the number of cells the colors covered vertically.,true,0.862500
pilot,training,0954867f72ce85860194b72a05f5d048,0954867f72ce85860194b72a05f5d048_ec883f72.json,ec883f72.json,3,1,18,true,|000030440300|000030440300|000030440300|000030000300|000033333300|000400000040|004000000004|040000000000|400000000000|000000000000|000000000000|000000000000|,Mae the cells with a correct color.,Mae the cells with a correct color.,true,0.663934
pilot,training,0954867f72ce85860194b72a05f5d048,0954867f72ce85860194b72a05f5d048_ef135b50.json,ef135b50.json,4,1,15,true,|2220000000|2229992222|0000002222|0222992222|0222000000|0222922220|0222922220|0222000000|0000000000|0000000000|,To connect the cells by using the colors.,To connect the cells by using the colors.,true,0.572519
pilot,training,d4623ca1932570dd40a9bb214c0d5fc4,d4623ca1932570dd40a9bb214c0d5fc4_017c7c7b.json,017c7c7b.json,1,1,21,true,|222|020|020|222|020|020|222|020|020|,change all of the blue blocks to red,change all of the blue blocks to red,true,0.594340
pilot,training,d4623ca1932570dd40a9bb214c0d5fc4,d4623ca1932570dd40a9bb214c0d5fc4_00d62c1b.json,00d62c1b.json,2,1,16,true,|00000000000000000000|00300000000000000000|03433000000000000000|00303333303300000000|00003444434430000000|00003333303330000000|00000000000003333300|00000000000003444300|00000000000003444300|00000000033333444300|00000000034443444300|00000000333333444300|00000033430003333300|00300000330000000000|03430000000000000000|00303033333300000000|00000003444300000000|00000003444300000000|00000003333300000000|00000000000000000000|,flood fill any closed holes in with the color yellow,flood fill any closed holes in with the color yellow,true,0.275862
pilot,training,d4623ca1932570dd40a9bb214c0d5fc4,d4623ca1932570dd40a9bb214c0d5fc4_0520fde7.json,0520fde7.json,3,1,7,true,|202|000|000|,copy any squares that the two cubes have in common and color them in red,copy any squares that the two cubes have in common and color them in red,true,0.875000
pilot,training,d23e0501e57a73a6f2a579f5b6312a78,d23e0501e57a73a6f2a579f5b6312a78_6cf79266.json,6cf79266.json,1,1,52,true,|04044044400040444440|00440040440000444440|44400404040444444040|44040040000004440400|40044044444440440404|44004004444440044040|00041110444440404404|40441114400004400000|04441114440040444000|40004400400404440404|00040404440040444044|04400444400044444040|00400400400404400044|40440400444000044400|04444004040044044444|40044040400404040400|44040404400444111044|40111440440404111444|00111444404004111000|44111004400040404044|,I think the rule is any square space of black which is 3 by 3 is supposed to be blue. There are 3 such spaces in the input.,I think the rule is any square space of black which is 3 by 3 is supposed to be blue. There are 3 such spaces in the input.,true,0.830339
pilot,training,d23e0501e57a73a6f2a579f5b6312a78,d23e0501e57a73a6f2a579f5b6312a78_6cdd2623.json,6cdd2623.json,2,1,61,true,|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|6666666666666666666|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|0006000000000000000|,"I think the rule is to find the 4 individual squares that are the same color, and make a straight line horizontally and vertically wwith these squares, intersecting each other. Then fill in all other squares besides these lines into black.","I think the rule is to find the 4 individual squares that are the same color, and make a straight line horizontally and vertically wwith these squares, intersecting each other. Then fill in all other squares besides these lines into black.",true,1.390879
pilot,training,d23e0501e57a73a6f2a579f5b6312a78,d23e0501e57a73a6f2a579f5b6312a78_6d0160f0.json,6d0160f0.json,3,1,34,true,|00050005604|00050005020|00050005070|55555555555|00050005000|00050005000|00050005000|55555555555|00050005000|00050005000|00050005000|,"The rule is to find the 3x3 square that contains the yellow individual square. Then on the output, act like the grey lines do not exist and the 11x11 output square is a larger version of the 3x3 square. Then you put the 3x3 to where it corresponds on the 11x11. so, the yellow square on this one is on the 3rd black individual on the top row of the 3x3. So it would be on the top row of the 11x11 all the way on the right.","The rule is to find the 3x3 square that contains the yellow individual square. Then on the output, act like the grey lines do not exist and the 11x11 output square is a larger version of the 3x3 square. Then you put the 3x3 to where it corresponds on the 11x11. so, the yellow square on this one is on the 3rd black individual on the top row of the 3x3. So it would be on the top row of the 11x11 all the way on the right.",true,0.656371
pilot,training,d23e0501e57a73a6f2a579f5b6312a78,d23e0501e57a73a6f2a579f5b6312a78_6d0aefbc.json,6d0aefbc.json,4,1,19,true,|686686|868868|161161|,The rule for this is that the output is doubled on the width. And then it is colored opposite from the test input,The rule for this is that the output is doubled on the width. And then it is colored opposite from the test input,true,0.428571
pilot,training,d23e0501e57a73a6f2a579f5b6312a78,d23e0501e57a73a6f2a579f5b6312a78_6d58a25d.json,6d58a25d.json,5,1,22,true,|00000000000000000000|00006000006000000060|00000000000600000000|00600010000000000000|00000111000000000000|00001101100006000060|00016606010000000000|00006606000000006000|60006606000000000000|00006606000000000000|00006606000000000000|00006606000000000000|06006606000600006000|00006606000000000000|00006606000000000060|00006606000000000000|00006606000000600000|00006606000000000000|00006606000000000600|00006606006000000000|,The rule is that you need to find the cluster of individual squares that form an arrowhead shape. Then find any colored squares that lie directly behind and part of this arrow shape. Then form solid lines from the arrow shape thru these individual colored squares all the way to the out edge of the output square.,The rule is that you need to find the cluster of individual squares that form an arrowhead shape. Then find any colored squares that lie directly behind and part of this arrow shape. Then form solid lines from the arrow shape thru these individual colored squares all the way to the out edge of the output square.,true,0.611111
pilot,training,e7991fb1319e21785e67a474d48dae84,e7991fb1319e21785e67a474d48dae84_ddf7fa4f.json,ddf7fa4f.json,2,1,52,true,|3000600090|0000000000|0066666099|0066666099|0066666099|0066666099|0000000099|3333000099|3333000099|0000000000|,"Make all rectangles/squares the same color as the input squares above them, respectively.","Make all rectangles/squares the same color as the input squares above them, respectively.",true,1.141066
