exp_name,task_type,hashed_id,joint_id_task,task_name,task_number,attempt_number,num_actions,solved,test_output_grid,first_written_solution,last_written_solution,complete,normalized_num_actions
pilot,training,e7991fb1319e21785e67a474d48dae84,e7991fb1319e21785e67a474d48dae84_dc433765.json,dc433765.json,5,1,20,true,|00000000000|00000000000|00000000000|00030000000|00000000000|00000000000|00000000000|00000000000|00040000000|00000000000|00000000000|,"Do not copy input, move green input one square towards the yellow input square.","Do not copy input, move green input one square towards the yellow input square.",true,1.728395
expv0,training,9a0d9fcb2f0772dd8ac4d42605f1d866,9a0d9fcb2f0772dd8ac4d42605f1d866_31aa019c.json,31aa019c.json,8,1,46,true,|0000000000|0000000000|0000000000|0000000000|0000000000|0000222000|0000292000|0000222000|0000000000|0000000000|,"eliminate all the tiles except the one lonely color, then highlight it with red.","eliminate all the tiles except the one lonely color, then highlight it with red.",true,1.601266
expv3,training,6449a5a210666d1a098474643a30c4dc,6449a5a210666d1a098474643a30c4dc_ba26e723.json,ba26e723.json,1,1,48,true,|04060404060404060|64464464464464464|60404060404060404|,Replace the yellows with pink in the first column and in every third column after that.,Replace the yellows with pink in the first column and in every third column after that.,true,1.553957
expv3,training,f1a97fbdf77fb8b3405e227a737ea73e,f1a97fbdf77fb8b3405e227a737ea73e_d89b689b.json,d89b689b.json,2,1,35,true,|0000000000|0000000000|0000000000|0000000000|0000340000|0000670000|0000000000|0000000000|0000000000|0000000000|,input the closest  color into the middle box and delete the exterior boxes,input the closest  color into the middle box and delete the exterior boxes,true,1.757991
expv3,training,9bbba0489030f0b9fbd8e8d4cc87ea79,9bbba0489030f0b9fbd8e8d4cc87ea79_9f236235.json,9f236235.json,2,1,35,true,|1131|0030|2032|0030|,mirror the grid and remove the blue lines,mirror the grid and remove the blue lines,true,1.562500
expv3,training,f1a97fbdf77fb8b3405e227a737ea73e,f1a97fbdf77fb8b3405e227a737ea73e_9af7a82c.json,9af7a82c.json,4,1,61,true,|18234|18230|18200|18000|10000|10000|,stacking by most of a color from left to right,stacking by most of a color from left to right,true,1.955128
expv3,training,9fc042903ad51212617dac008b33e52f,9fc042903ad51212617dac008b33e52f_5168d44c.json,5168d44c.json,2,1,66,true,|00000000000000000|00000000000000000|00000000000000000|00000000022200000|30303030323230303|00000000022200000|00000000000000000|,The red square is shifted two squares in the direct of the green line.,The red square is shifted two squares in the direct of the green line.,true,1.760000
expv3,training,9a23174c113cfa3bee401d2ef6bb216a,9a23174c113cfa3bee401d2ef6bb216a_623ea044.json,623ea044.json,4,1,62,true,|00000600000000000|00000060000000000|00000006000000000|00000000600000006|00000000060000060|00000000006000600|00000000000606000|00000000000060000|00000000000606000|00000000006000600|00000000060000060|00000000600000006|00000006000000000|00000060000000000|00000600000000000|00006000000000000|00060000000000000|,go up and down diagonally from the starting square.,go up and down diagonally from the starting square.,true,1.523629
expv3,training,12f4faec8a555fad73d7e8196bf1f85b,12f4faec8a555fad73d7e8196bf1f85b_a699fb00.json,a699fb00.json,2,1,27,true,|0121000000|0000000000|0012121210|0000000000|0121000000|0000012100|0000000000|0001210000|0000000000|0000000000|,recreate the blue positions. fill in with red,recreate the blue positions. fill in with red,true,1.636364
expv3,training,3c709e4bca3db77f2b9cbac235be2acc,3c709e4bca3db77f2b9cbac235be2acc_7df24a62.json,7df24a62.json,2,1,100,true,|00000000011111000000000|00000400014111000000000|00000000011111000000000|00000040014141000000000|00040000011111000000000|00000000000000400000000|00000000000000000000000|00000000000000000000000|00111110004000000000000|00111410000000000004000|00111110400004000000000|00141410000000000040000|00111110000040000000000|00000000000000000000000|00000000000000000000000|00000000000000000000000|40000004000000000040000|00000000000000000000000|00000000000000000004000|00000111110000000000000|00000141410000000000000|00000111110000000000040|04000141110000000000000|,Find the same pattern in the initial blue box and draw blue boxes all around the same pattern found on the grid.,Find the same pattern in the initial blue box and draw blue boxes all around the same pattern found on the grid.,true,1.655629
