exp_name,task_type,hashed_id,joint_id_task,task_name,task_number,attempt_number,num_actions,solved,test_output_grid,first_written_solution,last_written_solution,complete,first_written_solution_word_count,last_written_solution_word_count,word_count_diff
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_ac0c5833.json,ac0c5833.json,2,3,116,false,|000000000000000000000202000|000000000000000000000200000|000000000000000000040222000|000000000000000000000000000|000000000000000000040400000|000004040000002020000000000|000000000000000020000000000|000222040000002220400000000|000002000000000000000000000|000202000000000040400000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000040400|000002020002020000000000000|000002000000020000000040222|000402220002220400000000200|000000000000000000000000202|000404000000040400000000000|000000000000000000000000000|000000000000000000000000000|000002020000000000000000000|000000020000000000040400000|000002220400000000000000000|000000000000000000040222000|000000040400000000000200000|000000000000000000000202000|000000000000000000000000000|,I thought the rule to transform the input to the output was to create the same pattern in the input on the output and copying the orange pattern.,I thought the rule was to transform the orange pattern squares same as example input 3 to output 3. I miscalculated on the layout in one square and had to redo a few times to solve.,true,28,36,8
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_ac0c5833.json,ac0c5833.json,2,2,103,false,|000000000000000000000200000|000000000000000000000222000|000000000000000000040000000|000000000000000000000000000|000000000000000000040400000|000004040000002020000000000|000000000000000020000000000|000222040000002220400000000|000002000000000000000000000|000202000000000040400000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000040400|000002020002020000000000000|000002000000020000000040222|000402220002220400000000200|000000000000000000000000202|000404000000040400000000000|000000000000000000000000000|000000000000000000000000000|000002020000000000000000000|000000020000000000040400000|000002220400000000000000000|000000000000000000040222000|000000040400000000000200000|000000000000000000000202000|000000000000000000000000000|,I thought the rule to transform the input to the output was to create the same pattern in the input on the output and copying the orange pattern.,I thought the rule was to transform the orange pattern squares same as example input 3 to output 3. I miscalculated on the layout in one square and had to redo a few times to solve.,true,28,36,8
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_a680ac02.json,a680ac02.json,5,1,100,true,|3333|3003|3003|3333|2222|2002|2002|2222|1111|1001|1001|1111|,I thought the rule to transform input to output was to select the colored squares with black inside and create a larger grid pattern of those adjacent colors as per the output examples.,I thought the rule to transform input to output was to select the colored squares with black inside and create a larger grid pattern of those adjacent colors as per the output examples.,true,33,33,0
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_ac605cbb.json,ac605cbb.json,4,3,81,false,|00000000000|00010600000|01550500000|00000500000|00000500000|00025452000|00004500000|00040600000|00400000030|00000003550|00000000000|,I thought the rule was to copy the same pattern as example input 4 to example output 4,I thought the rule was to copy the input pattern as example 3 but it wasn't.,true,18,16,-2
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_ac0c5833.json,ac0c5833.json,2,1,79,false,|000000000000000000000202000|000000000000000000000222000|000000000000000000040000000|000000000000000000000000000|000000000000000000040400000|000004040000002220000000000|000000000000002020000000000|000220040000002200400000000|000202000000000000000000000|000222000000000040400000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000040400|000002220002220000000000000|000002020002020000000040022|000400220002200400000000202|000000000000000000000000222|000404000000040400000000000|000000000000000000000000000|000000000000000000000000000|000002220000000000000000000|000002020000000000040400000|000002200400000000000000000|000000000000000000040022000|000000040400000000000202000|000000000000000000000222000|000000000000000000000000000|,I thought the rule to transform the input to the output was to create the same pattern in the input on the output and copying the orange pattern.,I thought the rule was to transform the orange pattern squares same as example input 3 to output 3. I miscalculated on the layout in one square and had to redo a few times to solve.,true,28,36,8
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_ac605cbb.json,ac605cbb.json,4,2,66,false,|00000000000|00010600000|01550500000|00000500000|00000500000|00025452000|00004500000|00040600030|00400003550|00000000000|00000000000|,I thought the rule was to copy the same pattern as example input 4 to example output 4,I thought the rule was to copy the input pattern as example 3 but it wasn't.,true,18,16,-2
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_ac605cbb.json,ac605cbb.json,4,1,59,false,|00000600000|00010500000|01550500000|00000500000|00000500000|00025452000|00004500000|00040600030|00400003550|00000000000|00000000000|,I thought the rule was to copy the same pattern as example input 4 to example output 4,I thought the rule was to copy the input pattern as example 3 but it wasn't.,true,18,16,-2
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_7e02026e.json,7e02026e.json,3,3,41,false,|808888808080|088803808030|888833388888|803083880380|088808088088|008883330333|808808808030|080800888888|030883080803|333080883880|030883883888|888080330888|,I thought the rule was to color green any squares where there were 3 or more adjacent black squares to break up the black sections per the example 3 output.,"I thought the rule was to color green any adjacent black squares of three or more based on the example 3 input and output but it was not so, despite trying several alternatives.",true,30,33,3
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_7e02026e.json,7e02026e.json,3,2,38,false,|808888808080|088803808030|888833388888|803083880380|088808088088|008883330333|808808808030|080800888888|030883080800|333080883880|030883883888|888080330888|,I thought the rule was to color green any squares where there were 3 or more adjacent black squares to break up the black sections per the example 3 output.,"I thought the rule was to color green any adjacent black squares of three or more based on the example 3 input and output but it was not so, despite trying several alternatives.",true,30,33,3
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_7e02026e.json,7e02026e.json,3,1,35,false,|808888808080|088803808030|888833388888|803083880080|088808088088|008883330333|808808808030|080800888888|030883080800|333080883880|030883883888|888080330888|,I thought the rule was to color green any squares where there were 3 or more adjacent black squares to break up the black sections per the example 3 output.,"I thought the rule was to color green any adjacent black squares of three or more based on the example 3 input and output but it was not so, despite trying several alternatives.",true,30,33,3
